Date,Price,Earnings,Real Price,Real Earnings,Real Scaled Earnings,CAPE,TR CAPE
1871.01,4.44,0.40, 114.11 ,10.28, 10.28 ,NA,NA
1871.02,4.50,0.40, 112.77 ,9.98, 10.02 ,NA,NA
1871.03,4.61,0.40, 114.37 ,9.83, 9.92 ,NA,NA
1871.04,4.74,0.40, 122.61 ,10.20, 10.35 ,NA,NA
1871.05,4.86,0.40, 129.21 ,10.44, 10.63 ,NA,NA
1871.06,4.82,0.40, 130.75 ,10.60, 10.85 ,NA,NA
1871.07,4.73,0.40, 128.90 ,10.60, 10.90 ,NA,NA
1871.08,4.79,0.40, 133.22 ,10.77, 11.12 ,NA,NA
1871.09,4.84,0.40, 132.04 ,10.52, 10.91 ,NA,NA
1871.1,4.59,0.40, 123.88 ,10.36, 10.80 ,NA,NA
1871.11,4.64,0.40, 125.81 ,10.36, 10.85 ,NA,NA
1871.12,4.74,0.40, 126.20 ,10.13, 10.65 ,NA,NA
1872.01,4.86,0.40, 129.98 ,10.19, 10.76 ,NA,NA
1872.02,4.88,0.41, 131.11 ,10.25, 10.88 ,NA,NA
1872.03,5.04,0.41, 134.00 ,10.16, 10.83 ,NA,NA
1872.04,5.18,0.41, 135.32 ,10.00, 10.71 ,NA,NA
1872.05,5.18,0.41, 135.92 ,10.06, 10.82 ,NA,NA
1872.06,5.13,0.42, 136.21 ,10.20, 11.02 ,NA,NA
1872.07,5.10,0.42, 138.05 ,10.41, 11.30 ,NA,NA
1872.08,5.04,0.42, 136.07 ,10.40, 11.34 ,NA,NA
1872.09,4.95,0.42, 133.31 ,10.38, 11.38 ,NA,NA
1872.1,4.97,0.43, 137.52 ,10.68, 11.76 ,NA,NA
1872.11,4.95,0.43, 133.66 ,10.43, 11.54 ,NA,NA
1872.12,5.07,0.43, 139.60 ,10.65, 11.84 ,NA,NA
1873.01,5.11,0.43, 141.39 ,10.71, 11.97 ,NA,NA
1873.02,5.15,0.44, 140.11 ,10.54, 11.83 ,NA,NA
1873.03,5.11,0.44, 139.72 ,10.60, 11.96 ,NA,NA
1873.04,5.04,0.44, 138.51 ,10.66, 12.09 ,NA,NA
1873.05,5.05,0.44, 142.58 ,10.95, 12.49 ,NA,NA
1873.06,4.98,0.45, 145.63 ,11.35, 13.01 ,NA,NA
1873.07,4.97,0.45, 146.11 ,11.41, 13.16 ,NA,NA
1873.08,4.97,0.45, 146.89 ,11.48, 13.30 ,NA,NA
1873.09,4.59,0.45, 136.46 ,11.54, 13.45 ,NA,NA
1873.1,4.19,0.46, 128.29 ,11.88, 13.93 ,NA,NA
1873.11,4.04,0.46, 128.51 ,12.32, 14.55 ,NA,NA
1873.12,4.42,0.46, 138.16 ,12.10, 14.38 ,NA,NA
1874.01,4.66,0.46, 144.27 ,11.91, 14.24 ,NA,NA
1874.02,4.80,0.46, 149.46 ,11.91, 14.32 ,NA,NA
1874.03,4.73,0.46, 148.13 ,11.91, 14.41 ,NA,NA
1874.04,4.60,0.46, 147.19 ,12.10, 14.72 ,NA,NA
1874.05,4.48,0.46, 145.36 ,12.19, 14.93 ,NA,NA
1874.06,4.46,0.46, 149.13 ,12.49, 15.38 ,NA,NA
1874.07,4.46,0.46, 148.85 ,12.39, 15.35 ,NA,NA
1874.08,4.47,0.46, 151.31 ,12.49, 15.57 ,NA,NA
1874.09,4.54,0.46, 154.61 ,12.49, 15.67 ,NA,NA
1874.1,4.53,0.46, 157.75 ,12.69, 16.02 ,NA,NA
1874.11,4.57,0.46, 161.42 ,12.80, 16.25 ,NA,NA
1874.12,4.54,0.46, 161.33 ,12.80, 16.35 ,NA,NA
1875.01,4.54,0.45, 162.30 ,12.57, 16.15 ,NA,NA
1875.02,4.53,0.44, 162.92 ,12.33, 15.94 ,NA,NA
1875.03,4.59,0.44, 166.04 ,12.10, 15.74 ,NA,NA
1875.04,4.65,0.43, 167.79 ,11.78, 15.40 ,NA,NA
1875.05,4.47,0.42, 166.34 ,11.83, 15.57 ,NA,NA
1875.06,4.38,0.41, 166.77 ,11.80, 15.61 ,NA,NA
1875.07,4.39,0.40, 168.14 ,11.56, 15.39 ,NA,NA
1875.08,4.41,0.39, 168.46 ,11.22, 15.02 ,NA,NA
1875.09,4.37,0.39, 169.34 ,11.08, 14.92 ,NA,NA
1875.1,4.30,0.38, 167.61 ,10.84, 14.68 ,NA,NA
1875.11,4.37,0.37, 172.80 ,10.69, 14.56 ,NA,NA
1875.12,4.37,0.36, 175.30 ,10.54, 14.44 ,NA,NA
1876.01,4.46,0.35, 181.50 ,10.43, 14.38 ,NA,NA
1876.02,4.52,0.35, 184.95 ,10.24, 14.19 ,NA,NA
1876.03,4.51,0.34, 185.57 ,10.04, 13.99 ,NA,NA
1876.04,4.34,0.33, 181.19 ,9.93, 13.91 ,NA,NA
1876.05,4.18,0.33, 182.00 ,10.09, 14.22 ,NA,NA
1876.06,4.15,0.32, 186.92 ,10.16, 14.41 ,NA,NA
1876.07,4.10,0.31, 185.80 ,9.95, 14.20 ,NA,NA
1876.08,3.93,0.31, 177.55 ,9.65, 13.86 ,NA,NA
1876.09,3.69,0.30, 166.28 ,9.35, 13.52 ,NA,NA
1876.1,3.67,0.29, 163.48 ,8.98, 13.07 ,NA,NA
1876.11,3.60,0.29, 160.02 ,8.70, 12.74 ,NA,NA
1876.12,3.58,0.28, 157.41 ,8.34, 12.31 ,NA,NA
1877.01,3.55,0.28, 154.42 ,8.25, 12.25 ,NA,NA
1877.02,3.34,0.28, 150.23 ,8.52, 12.74 ,NA,NA
1877.03,3.17,0.29, 150.31 ,8.97, 13.51 ,NA,NA
1877.04,2.94,0.29, 136.62 ,8.78, 13.32 ,NA,NA
1877.05,2.94,0.29, 135.14 ,8.67, 13.25 ,NA,NA
1877.06,2.73,0.29, 133.59 ,9.21, 14.19 ,NA,NA
1877.07,2.85,0.29, 139.11 ,9.18, 14.24 ,NA,NA
1877.08,3.05,0.29, 155.61 ,9.59, 14.96 ,NA,NA
1877.09,3.24,0.30, 167.86 ,9.74, 15.28 ,NA,NA
1877.1,3.31,0.30, 172.38 ,9.79, 15.45 ,NA,NA
1877.11,3.26,0.30, 174.06 ,10.04, 15.93 ,NA,NA
1877.12,3.25,0.30, 174.37 ,10.10, 16.10 ,NA,NA
1878.01,3.25,0.30, 180.63 ,10.44, 16.72 ,NA,NA
1878.02,3.18,0.30, 179.46 ,10.58, 17.03 ,NA,NA
1878.03,3.24,0.30, 187.64 ,10.83, 17.52 ,NA,NA
1878.04,3.33,0.30, 195.84 ,10.98, 17.84 ,NA,NA
1878.05,3.34,0.30, 203.91 ,11.38, 18.57 ,NA,NA
1878.06,3.41,0.31, 213.88 ,11.67, 19.13 ,NA,NA
1878.07,3.48,0.31, 216.77 ,11.57, 19.05 ,NA,NA
1878.08,3.45,0.31, 213.46 ,11.47, 18.98 ,NA,NA
1878.09,3.52,0.31, 218.73 ,11.50, 19.11 ,NA,NA
1878.1,3.48,0.31, 219.62 ,11.66, 19.46 ,NA,NA
1878.11,3.47,0.31, 222.44 ,11.83, 19.82 ,NA,NA
1878.12,3.45,0.31, 227.29 ,12.14, 20.42 ,NA,NA
1879.01,3.58,0.32, 234.13 ,12.22, 20.65 ,NA,NA
1879.02,3.71,0.32, 240.86 ,12.31, 20.89 ,NA,NA
1879.03,3.65,0.33, 240.70 ,12.67, 21.60 ,NA,NA
1879.04,3.77,0.33, 252.54 ,13.05, 22.33 ,NA,NA
1879.05,3.94,0.34, 264.98 ,13.28, 22.81 ,NA,NA
1879.06,3.96,0.35, 270.54 ,13.67, 23.57 ,NA,NA
1879.07,4.04,0.35, 273.87 ,13.73, 23.78 ,NA,NA
1879.08,4.07,0.36, 277.00 ,13.96, 24.28 ,NA,NA
1879.09,4.22,0.36, 278.60 ,13.71, 23.93 ,NA,NA
1879.1,4.68,0.37, 293.55 ,13.19, 23.10 ,NA,NA
1879.11,4.93,0.37, 294.60 ,12.73, 22.36 ,NA,NA
1879.12,4.92,0.38, 286.32 ,12.54, 22.11 ,NA,NA
1880.01,5.11,0.39, 289.85 ,12.48, 22.08 ,NA,NA
1880.02,5.20,0.40, 295.95 ,12.77, 22.67 ,NA,NA
1880.03,5.30,0.41, 299.80 ,12.94, 23.05 ,NA,NA
1880.04,5.18,0.42, 305.58 ,13.75, 24.58 ,NA,NA
